0 500
1 501
2 504
3 509
4 516
5 525
6 536
7 549
8 564
9 581
10 600
11 621
12 644
13 669
14 696
15 725
16 756
17 789
18 824
19 861
20 900
21 941
22 984
23 1029
24 1076
25 1125
26 1176
27 1229
28 1284
29 1341
30 1400
31 1461
32 1524
33 1589
34 1656
35 1725
36 1796
37 1869
38 1944
39 2021
40 2100
41 2181
42 2264
43 2349
44 2436
45 2525
46 2616
47 2709
48 2804
49 2901
0 1000
1 1021
2 1044
3 1069
4 1096
5 1125
6 1156
7 1189
8 1224
9 1261
10 1300
11 1341
12 1384
13 1429
14 1476
15 1525
16 1576
17 1629
18 1684
19 1741
20 1800
21 1861
22 1924
23 1989
24 2056
25 2125
26 2196
27 2269
28 2344
29 2421
30 2500
31 2581
32 2664
33 2749
34 2836
35 2925
36 3016
37 3109
38 3204
39 3301
40 3400
41 3501
42 3604
43 3709
44 3816
45 3925
46 4036
47 4149
48 4264
49 4381
0 1500
1 1541
2 1584
3 1629
4 1676
5 1725
6 1776
7 1829
8 1884
9 1941
10 2000
11 2061
12 2124
13 2189
14 2256
15 2325
16 2396
17 2469
18 2544
19 2621
20 2700
21 2781
22 2864
23 2949
24 3036
25 3125
26 3216
27 3309
28 3404
29 3501
30 3600
31 3701
32 3804
33 3909
34 4016
35 4125
36 4236
37 4349
38 4464
39 4581
40 4700
41 4821
42 4944
43 5069
44 5196
45 5325
46 5456
47 5589
48 5724
49 5861
